iter,genotype,score,loss
5,881766,0.1424,8.565754919433594
5,281671,0.1398,6.434343974304199
5,826804,0.1279,13.945926992797851
5,922710,0.1232,14.08605149230957
5,705207,0.1166,14.226603930664062
5,429526,0.1153,14.205029431152344
5,482038,0.1126,14.267141271972656
5,345782,0.1,14.50628570251465
5,905823,0.1,14.506285662841798
5,367191,0.1,14.506005001831054
5,1006038,0.1,14.506285684204101
6,135629,0.4181,1.6401315692901612
6,135629,0.4181,1.6401315692901612
6,135629,0.4181,1.6401315692901612
6,280671,0.4044,1.6651611043930055
6,280665,0.4009,1.677261766242981
6,280665,0.4009,1.677261766242981
6,283735,0.4005,1.6632710382461549
6,873559,0.4005,1.6632710382461549
6,873559,0.4005,1.6632710382461549
6,477478,0.3993,1.6746228921890258
6,477478,0.3993,1.6746228921890258
6,1018358,0.3989,1.670240961074829
6,1018358,0.3989,1.670240961074829
6,1018326,0.3989,1.670240961074829
6,280667,0.3971,1.6850145280838014
6,280667,0.3971,1.6850145280838014
6,135423,0.3959,1.686219025039673
6,151807,0.3959,1.686219025039673
6,804041,0.3936,1.7097914083480834
6,804041,0.3936,1.7097914083480834
6,134616,0.3926,1.71502416305542
6,318695,0.3915,1.694687914276123
6,318695,0.3915,1.694687914276123
6,659851,0.3861,1.7033663749694825
6,888047,0.386,1.7006436141967773
6,659944,0.386,1.702875496864319
6,660619,0.3857,1.7102077774047852
6,134354,0.3843,1.749918274116516
6,134354,0.3843,1.749918274116516
6,134354,0.3843,1.749918274116516
6,876966,0.3842,1.7221420154571534
6,335053,0.3821,1.6968091300964356
6,330846,0.3797,1.7248507730484008
6,168186,0.379,1.7053172868728639
6,331006,0.3787,1.7234502807617187
6,788728,0.3786,1.7456605598449706
6,496967,0.3782,1.7406589525222778
6,861322,0.3761,1.7295253015518188
6,335843,0.3752,1.7418765403747558
6,995470,0.3747,1.7749741521835327
6,281816,0.3742,1.7359396348953247
6,662728,0.372,1.7339891834259034
6,265438,0.3662,1.7726600833892823
6,988298,0.3652,1.7606700359344483
6,903650,0.3599,1.7831572912216187
6,266445,0.3593,1.81305352268219
6,139464,0.3582,1.8158936195373536
6,827075,0.3556,1.8033647697448731
6,346201,0.3517,1.8086607692718506
6,761571,0.3511,1.8107019264221191
6,54441,0.35,1.8206690200805664
6,136397,0.348,1.846910999107361
6,102545,0.346,1.8878531221389772
6,1035714,0.3398,1.8033095771789551
6,822723,0.338,1.85516277885437
6,395486,0.3377,1.8137460046768188
6,145615,0.3316,1.8656002153396607
6,78691,0.3304,1.8841201118469237
6,351367,0.3302,1.8366477020263672
6,869481,0.3299,1.8635222482681275
6,673186,0.3299,1.8338902462005615
6,918729,0.3273,1.8877272075653075
6,956226,0.3238,1.8397966609954834
6,1017845,0.3156,1.8611780149459838
6,504774,0.3118,1.9097517475128174
6,877606,0.311,1.9079104862213134
6,202846,0.3102,1.9030670608520508
6,147673,0.3055,2.1539766284942625
6,203931,0.3055,1.9332771793365477
6,999906,0.3038,1.8923797431945801
6,902566,0.3021,2.0917597873687743
6,1004615,0.2998,2.005153942680359
6,787511,0.2968,1.943034881210327
6,537027,0.2933,1.9900135070800782
6,838118,0.2915,2.017112863922119
6,666066,0.2906,2.201093194580078
6,639809,0.2892,1.9526256048202515
6,919623,0.2855,2.0400345485687255
6,726194,0.284,2.3743535430908205
6,538049,0.2778,1.988724959564209
6,399585,0.2767,2.0365625261306763
6,974055,0.2677,2.1865912216186523
6,431782,0.2657,2.04945495262146
6,265410,0.2651,1.9923361669540405
6,380617,0.2644,2.043164810562134
6,332033,0.2595,2.052413981628418
6,803529,0.2516,2.7442677555084227
6,692304,0.2163,3.7911878448486327
6,628435,0.1857,5.759460399627685
6,995431,0.1496,13.280059732055664
6,1029838,0.1394,10.810477928161621
6,368279,0.1323,13.866916650390625
6,510038,0.1205,13.975197012329101
6,941293,0.1056,13.269280975341797
6,396498,0.1053,13.961836822509765
6,1002736,0.1005,14.495907678222656
6,656848,0.1,2.3160317573547364
6,368347,0.1,14.506285668945312
6,808023,0.1,14.505791366577148
6,380377,0.1,14.50628567199707
7,135629,0.4181,1.6401315692901612
7,135629,0.4181,1.6401315692901612
7,135629,0.4181,1.6401315692901612
7,136173,0.4181,1.6401315692901612
7,280671,0.4044,1.6651611043930055
7,280665,0.4009,1.677261766242981
7,280665,0.4009,1.677261766242981
7,1001561,0.4009,1.677261766242981
7,283735,0.4005,1.6632710382461549
7,873559,0.4005,1.6632710382461549
7,873559,0.4005,1.6632710382461549
7,477478,0.3993,1.6746228921890258
7,477478,0.3993,1.6746228921890258
7,1018358,0.3989,1.670240961074829
7,1018358,0.3989,1.670240961074829
7,1018326,0.3989,1.670240961074829
7,1018326,0.3989,1.670240961074829
7,1018358,0.3989,1.670240961074829
7,1018358,0.3989,1.670240961074829
7,280667,0.3971,1.6850145280838014
7,280667,0.3971,1.6850145280838014
7,280667,0.3971,1.6850145280838014
7,913574,0.396,1.6971414455413818
7,135423,0.3959,1.686219025039673
7,151807,0.3959,1.686219025039673
7,804041,0.3936,1.7097914083480834
7,804041,0.3936,1.7097914083480834
7,804041,0.3936,1.7097914083480834
7,134616,0.3926,1.71502416305542
7,134616,0.3926,1.71502416305542
7,318695,0.3915,1.694687914276123
7,318695,0.3915,1.694687914276123
7,318663,0.3915,1.694687914276123
7,659851,0.3861,1.7033663749694825
7,888047,0.386,1.7006436141967773
7,659944,0.386,1.702875496864319
7,888034,0.386,1.7006436141967773
7,660619,0.3857,1.7102077774047852
7,477542,0.3854,1.6949671466827392
7,134354,0.3843,1.749918274116516
7,134354,0.3843,1.749918274116516
7,134354,0.3843,1.749918274116516
7,876966,0.3842,1.7221420154571534
7,331006,0.3787,1.7234502807617187
7,333054,0.3787,1.7234502807617187
7,874634,0.3761,1.7295253015518188
7,810183,0.3756,1.7137363048553467
7,282715,0.3721,1.7600989946365357
7,185763,0.3638,1.789783606338501
7,1022694,0.3597,1.7974488883972168
7,368259,0.3588,1.7980832420349122
7,1028230,0.3543,1.798180223083496
7,838887,0.3515,1.7879635578155517
7,985543,0.3502,1.8400818778991699
7,218281,0.35,1.8206690200805664
7,269783,0.3469,1.8410516761779785
7,873559,0.3466,1.7721220378875733
7,69275,0.3463,1.8457472869873046
7,999842,0.3434,1.8355049488067627
7,1021763,0.3357,1.8644787843704225
7,493141,0.3355,1.8155775024414063
7,465126,0.3353,1.83418854637146
7,145615,0.3316,1.8656002153396607
7,992392,0.3316,1.83199563331604
7,537794,0.3173,1.8760942607879638
7,414915,0.3131,1.9326223781585694
7,790467,0.3118,1.8971510087966919
7,727109,0.3054,1.8894023273468017
7,1004615,0.2998,2.005153942680359
7,758995,0.2959,2.075282360458374
7,952817,0.2918,1.9941090583801269
7,838118,0.2915,2.017112863922119
7,804013,0.2868,2.148966353225708
7,134338,0.2854,2.081558046722412
7,137857,0.2811,2.0582470582962036
7,924866,0.2793,2.0027024181365967
7,481505,0.2737,2.0057581220626832
7,953874,0.2681,2.889368765640259
7,268504,0.2657,2.033925597000122
7,298478,0.2591,2.792652933883667
7,314455,0.248,3.362912361907959
7,611529,0.2408,2.5000831481933594
7,183528,0.2378,2.3908256942749024
7,51295,0.2202,2.5922685707092286
7,856151,0.2145,6.625560261535645
7,581065,0.2122,3.534499644470215
7,812745,0.1685,3.9130578475952147
7,887294,0.1557,12.424295986938477
7,806390,0.1485,13.69887834777832
7,378963,0.1474,13.669072369384766
7,738704,0.1402,12.285648101806641
7,153821,0.1383,11.16295245513916
7,937170,0.1138,14.260230046081542
7,357630,0.1113,14.279024726867675
7,478204,0.1004,14.495760705566406
7,285389,0.1,14.504971701049804
7,477651,0.1,14.506285662841798
7,302810,0.1,14.506285664367676
7,249594,0.1,14.506285662841798
7,902617,0.0998,14.508464352416992
8,135629,0.4181,1.6401315692901612
8,135629,0.4181,1.6401315692901612
8,135629,0.4181,1.6401315692901612
8,136173,0.4181,1.6401315692901612
8,280671,0.4044,1.6651611043930055
8,280665,0.4009,1.677261766242981
8,280665,0.4009,1.677261766242981
8,1001561,0.4009,1.677261766242981
8,280665,0.4009,1.677261766242981
8,283735,0.4005,1.6632710382461549
8,873559,0.4005,1.6632710382461549
8,873559,0.4005,1.6632710382461549
8,477478,0.3993,1.6746228921890258
8,477478,0.3993,1.6746228921890258
8,1018358,0.3989,1.670240961074829
8,1018358,0.3989,1.670240961074829
8,1018326,0.3989,1.670240961074829
8,1018326,0.3989,1.670240961074829
8,1018358,0.3989,1.670240961074829
8,1018358,0.3989,1.670240961074829
8,280667,0.3971,1.6850145280838014
8,280667,0.3971,1.6850145280838014
8,280667,0.3971,1.6850145280838014
8,280667,0.3971,1.6850145280838014
8,280667,0.3971,1.6850145280838014
8,185548,0.3971,1.6985942499160767
8,280667,0.3971,1.6850145280838014
8,913574,0.396,1.6971414455413818
8,135423,0.3959,1.686219025039673
8,151807,0.3959,1.686219025039673
8,804041,0.3936,1.7097914083480834
8,804041,0.3936,1.7097914083480834
8,804041,0.3936,1.7097914083480834
